KOD,TYPE,FİYAT
4078311,VERY IRRESISTIBLE GIVENCHY ELECTRIC ROSE,74.175
4064720,VERY IRRESISTIBLE L'INTENSE,66.64999999999999
4041757,YSATIS,69.875
4527313,IRRESISTIBLE 2020,68.8
4068354,UNPREDICTABLE LADY,73.1
4040940,CABOCHARD,69.875
4024327,GRES,53.75
4150284,BAMBOO,69.875
4289038,BLOOM,73.1
4383871,BLOOM ACQUA DI FIORIFLAME,70.95
4029182,ENVY,52.675
4025886,ENVY ME 2,58.05
4043297,FLORA BY GUCCI,69.875
4094080,FLORA BY GUCCI 1966,70.95
4072132,FLORA BY GUCCI EAU FRAICHE,73.1
4085904,FLORA BY GUCCI GENEROUS VIOLET,64.5
4078146,FLORA BY GUCCI GEORGEOUS GARDENIA,69.875
4085941,FLORA BY GUCCI GLAMOROUS MAGNOLIA,68.8
4086055,FLORA BY GUCCI GLORIFLAMEOUS MANDARIN,66.64999999999999
4086454,FLORA BY GUCCI GRACIOUS TUBEROSE,68.8
4011198,GUCCI,45.15
4036502,GUCCI BY GUCCI,62.34999999999999
4082238,GUCCI PREMIERE,73.1
4055365,GUILTY,70.95
4344383,GUILTY ABSOLUTE POUR FEMME,74.175
4089231,GUILTY BLACK POUR FEMME,69.875
4067554,GUILTY INTENSE,70.95
4409475,RUSH,64.5
4107805,RUSH 2,40.85
4071468,CHAMPS ELYSEES,67.725
4461590,CUIR BELUGA,68.8
4045569,IDYLLE,77.39999999999999
4081781,LA PETITE ROBE NOIR,73.1
4119924,LA PETITE ROBE NOIRE COUTURE,77.39999999999999
4078408,LES VOYAGES OLFACTIFS 01 PARIS-MOSCOW,75.25
4015464,L'INSTANT DE GUERLAIN,51.59999999999999
4033778,L'INSTANT MAGIC,52.675
4057135,L'INSTANT MAGIC ELIXIR,73.1
4355366,MON FLORALE,73.1
4293327,MON GUERLAIN,64.5
4055778,SAMSARA,83.85
4016276,SHALIMAR,74.175
4071726,SHALIMAR PARFUM INITIAL,74.175
4014494,WITH LOWE,45.15
4485896,MON BLOOM OF ROSE,73.1
4543423,AQUA ALLEGORIA MANDARINE BASILIC,66.64999999999999
4027206,GUESS FOR WOMAN,48.375
4031719,GUESS GOLD,52.675
4070408,GUESS SEDUCTIVE,66.64999999999999
4034440,FIDGI,54.825
4010405,J'AI OSE,79.55
4087103,"24, FAUBOURG",64.5
4016277,CALECHE,58.05
4259173,EAU DE MERVEILLES,66.64999999999999
4060175,ELIXIR DES MERVEILLES,69.875
4281584,GALOP D'HERMES,68.8
4024923,HERMES UN DE JARDIN SUR LE NIL,55.9
4089242,JOUR D'HERMES,68.8
4035729,KELLY CALECHE,75.25
4302637,TWILLY D'HERMES,64.5
4422400,BOSS ALIVE,66.64999999999999
4285216,BOSS ESSENCE DE FEMME,74.175
4234566,BOSS FEMME,73.1
4014249,BOSS INTENSE,45.15
4099599,BOSS JOUR POUR FEMME,73.1
4130508,BOSS MA VIE POUR FEMME,68.8
4044911,BOSS ORANGE,61.275
4252328,BOSS THE SCENT FOR HER,55.9
4900769,BOSS WOMAN,47.3
4199924,HUGO BOSS WOMAN EAU DE PARFUM,68.8
4086210,HUGO BOSS WOMEN,56.97499999999999
4082822,NUIT POUR FEMME,73.1
4024308,PURE PURPLE,48.375
4323345,THE SCENT FOR HER PARFUM EDITION,66.64999999999999
4034100,XX WOMAN,60.2
